heading,date,url
"मुख्यमंत्री हेमंत सोरेन ने बताया सरकार का फैसला, कहा- जनता चक्कर नहीं काटेगी अधिकारी उनके पास जायेंगे"," Sat, Jan 18, 2020, 6:55 AM IST ",https://www.prabhatkhabar.com/news/ranchi/chief-minister-hemant-soren-governments-decision-public-will-not-turn-around-officials-will-go/1372861.html
"झामुमो विधायक जोबा मांझी: पति को खोने के बाद राजनीति में रखा कदम, फिर बनीं हेमंत सरकार में मंत्री"," Tue, Jan 28, 2020, 2:39 PM IST ",https://www.prabhatkhabar.com/news/ranchi/joba-majhi-jharkhand-jharkhand-cabinet-expansion-hemant-soren-cabinet-joba-majhi-jmm-mla-joba-majhi/1376376.html+&cd=23&hl=en&ct=clnk&gl=in&lr=lang_hi
"मुख्यमंत्री हेमंत सोरेन ने बताया सरकार का फैसला, कहा- जनता चक्कर नहीं काटेगी अधिकारी उनके पास जायेंगे"," Sat, Jan 18, 2020, 6:55 AM IST ",https://www.prabhatkhabar.com/news/ranchi/chief-minister-hemant-soren-governments-decision-public-will-not-turn-around-officials-will-go/1372861.html&prev=search&pto=aue
पत्थलगड़ी समर्थकों द्वारा की गयी नृशंस हत्या की घटना से आहत हूं : हेमंत सोरेन," Wed, Jan 22, 2020, 1:37 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-talks-on-pathalgadi-supporters-killed-seven-villagers-in-west-singhbhum-jharkhand/1374469.html
शिक्षा व स्वास्थ्य हमारी प्राथमिकता इनसे समझौता नहीं : हेमंत सोरेन," Tue, Jan 21, 2020, 6:11 AM IST ",https://www.prabhatkhabar.com/news/ranchi/education-health-our-priority-not-compromise-hemant-soren/1373822.html
"कैबिनेट विस्तार में पांच का पेच सुलझा रहे हेमंत सोरेन, कांग्रेस कोटे में जा सकते हैं ये विभाग"," Thu, Jan 16, 2020, 2:06 AM IST ",https://www.prabhatkhabar.com/news/ranchi/jharkhand-ranchi-hemant-soren-cabinet-expansion-congress-jmm-rjd/1372056.html
रांची : गार्ड ऑफ ऑनर देने की परंपरा को समाप्त करूंगा : मुख्यमंत्री," Sat, Jan 4, 2020, 6:25 AM IST ",https://www.prabhatkhabar.com/news/ranchi/ranchi-guard-of-honor-tradition-will-end-chief-minister-hemant-soren/1367671.html&prev=search&pto=aue
"CM हेमंत ने राष्‍ट्रपति कोविंद, पूर्व राष्‍ट्रपति प्रणब मुखर्जी व केजरीवाल से की मुलाकात"," Fri, Jan 3, 2020, 9:53 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-ramnath-kovind-pranab-mukherjee-arvind-kejriwal-meeting-jharkhand/1367528.html
CM हेमंत का आदेश- बलात्कार व पोक्‍सो एक्ट के लंबित मामलों का जल्‍द निपटारे के लिए बनेंगे 22 फास्ट ट्रैक कोर्ट," Mon, Jan 6, 2020, 6:31 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-chief-minister-important-orders-rape-pocso-act-pending-cases-settlement-22-fast-track-court-formation/1368619.html
"चाईबासा : अस्‍पताल में बच्‍चे को मिला केवल भात, घटना पर मुख्यमंत्री ने लिया संज्ञान, दोषी निलंबित"," Mon, Jan 6, 2020, 5:43 PM IST ",https://www.prabhatkhabar.com/news/singhbhum-west/orphan-children-hospital-food-only-rice-chief-minister-hemant-soren-cognizance-guilty-suspended/1368615.html+&cd=12&hl=en&ct=clnk&gl=in&lr=lang_hi
रवींद्रनाथ के मार्गदर्शन में नयी बुलंदियों पर पहुंचेगी विधानसभा : हेमंत सोरेन," Wed, Jan 8, 2020, 4:59 AM IST ",https://www.prabhatkhabar.com/news/ranchi/rabindranath-guidance-new-elevations-legislative-assembly-hemant-soren/1369292.html
दिल्ली में प्रधानमंत्री नरेंद्र मोदी से मिले झारखंड के मुख्यमंत्री हेमंत सोरेन," Sat, Jan 11, 2020, 1:50 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-meets-prime-minister-modi-in-new-delhi/1370585.html+&cd=17&hl=en&ct=clnk&gl=in&lr=lang_hi
"हेमंत सरकार में पहले भी मंत्री रह चुके हैं हाजी हुसैन अंसारी, जानें उनकी शख्सीयत को"," Tue, Jan 28, 2020, 2:25 PM IST ",https://www.prabhatkhabar.com/news/ranchi/haji-hussain-ansari-has-been-a-minister-before-in-hemant-soren-government-know-his-personality/1376373.html+&cd=21&hl=en&ct=clnk&gl=in&lr=lang_hi
